,WEO Country Code,ISO,WEO Subject Code,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
1450,156,CAN,BCA,Canada,-57.616,-48.633,-64.62,-58.011,-41.891,-54.402,-47.188,-46.226,-41.01,-34.054,-33.396,0.297,-7.923,-15.542,-21.163,-29.363,-40.396,-49.946,-61.317,-73.006
1451,156,CAN,BCA_NGDPD,Canada,-3.562,-2.712,-3.534,-3.141,-2.32,-3.495,-3.088,-2.803,-2.377,-1.953,-2.017,0.015,-0.367,-0.725,-0.956,-1.26,-1.652,-1.952,-2.291,-2.613
1584,924,CHN,NGDP_R,China,47294.463,51811.498,55877.494,60219.522,64670.541,69209.37,73949.359,79086.766,84424.442,89448.652,91454.179,99181.574,102107.812,107468.149,112652.204,117703.514,122530.09,126911.694,131181.943,135501.274
1585,924,CHN,NGDP_RPCH,China,10.611,9.551,7.848,7.771,7.391,7.018,6.849,6.947,6.749,5.951,2.242,8.449,2.95,5.25,4.824,4.484,4.101,3.576,3.365,3.293
1586,924,CHN,NGDP,China,40850.54,48410.931,53903.991,59634.448,64654.796,69209.37,74598.051,82898.276,91577.426,99070.84,102562.837,114528.293,120247.1,125798,131487.826,139955.295,148580.924,156924.052,165457.6,174297.205
1587,924,CHN,NGDPD,China,6033.83,7492.212,8539.584,9624.928,10524.241,11113.508,11226.897,12265.327,13841.812,14340.6,14862.564,17759.307,17848.54,17758.046,18273.357,19534.894,20810.882,22050.806,23319.715,24589.667
1588,924,CHN,PPPGDP,China,10998.337,12297.371,13509.365,14806.924,16178.308,17474.445,18848.647,20519.109,22368.201,24404.032,25547.101,28722.485,31678.065,34540.882,37072.086,39438.111,41817.197,44108.393,46428.138,48836.346
1589,924,CHN,NGDP_D,China,86.375,93.437,96.468,99.028,99.976,100,100.877,104.819,108.473,110.757,112.147,115.473,117.765,117.056,116.72,118.905,121.261,123.648,126.128,128.631
1590,924,CHN,NGDPRPC,China,35270.423,38402.782,41109.97,44043.944,46983.233,50033.522,53112.33,56486.109,60071.041,63435.161,64763.744,70212.073,72327.121,76236.388,79949.061,83590.808,87097.81,90314.432,93479.475,96687.933
1591,924,CHN,NGDPRPPPPC,China,10214.137,11121.253,11905.241,12754.905,13606.108,14489.457,15381.064,16358.093,17396.272,18370.504,18755.255,20333.063,20945.571,22077.675,23152.846,24207.478,25223.088,26154.606,27071.186,28000.34
1592,924,CHN,NGDPPC,China,30464.789,35882.275,39658.032,43616.026,46971.794,50033.522,53578.237,59208.402,65160.648,70259.02,72630.397,81076.237,85175.916,89239.326,93316.667,99393.602,105615.47,111672.188,117904.105,124371.057
1593,924,CHN,NGDPDPC,China,4499.803,5553.242,6282.709,7039.574,7645.875,8034.287,8063.446,8760.259,9848.949,10170.061,10525.001,12572.071,12642.847,12597.307,12968.567,13873.312,14792.956,15692.061,16617.491,17546.138
1594,924,CHN,PPPPC,China,8202.144,9114.835,9939.057,10829.633,11753.562,12632.798,13537.583,14655.355,15915.783,17306.842,18091.31,20333.063,22438.863,24502.814,26309.991,28008.2,29724.832,31388.947,33084.416,34847.535
1595,924,CHN,NGAP_NPGDP,China,,,,,,,,,,,,,,,,,,,,
